theta,int
4.03,0.14756460269550806
4.056,0.07593756420866207
4.082,0.027872626154214694
4.108,0.003647348112032414
4.134,-0.008179140405098737
4.16,-0.007941941816776639
4.186,-0.014447410095475977
4.212,-0.00993850187553682
4.238,-0.0038827067287750417
4.264,0.0
4.29,-0.002987546456397719
4.316,-0.0024514401976501966
4.342,-0.015109568601377538
4.368,-0.01988771283521187
4.394,-0.01251416326753684
4.42,-0.008461174039494439
4.446,-0.015747509110910916
4.472,-0.020021307278888685
4.498,-0.014678681466340658
4.524,-0.012331668192604877
4.55,-0.011744788839979103
4.576,-0.009810730063118835
4.602,-0.008614573583955003
4.628,-0.007767059016087968
4.654,-0.004005168859613733
4.68,0.0004573899923792493
4.706,0.00726905065446914
4.732,0.012652294942120043
4.758,0.018286019826236337
4.784,0.028601023965920326
4.81,0.030656938168088146
4.836,0.032878711143591095
4.862,0.03767960444614275
4.888,0.03440520929381274
4.914,0.029072811402954122
4.94,0.02545992895810315
4.966,0.027256073447740198
4.992,0.026984060580072983
5.018,0.022623121218750136
5.044,0.024544506006620146
5.07,0.028943617775744897
5.096,0.02643758877743805
5.122,0.01593310505685619
5.148,0.012313452866154689
5.174,0.014200988924772449
5.2,0.01567895535943971
5.226,0.016283624579402335
5.252,0.0161808553579957
5.278,0.015607588799984654
5.304,0.010647526930899386
5.33,0.01359114334218324
5.356,0.01563776842828605
5.382,0.009452382560274109
5.408,0.005653332104536391
5.434,0.009155452548480195
5.46,0.004215699916946096
5.486,0.00908869389560057
5.512,0.007120859692402371
5.538,0.006652524195072951
5.564,0.004315738843026583
5.59,0.004385598140805809
5.616,0.006780865138205348
5.642,0.007916959407426233
5.668,0.008971816726441938
5.694,0.003151997134352933
5.72,0.006627038594894997
5.746,-0.001088309835312512
5.772,0.0016725234380098198
5.798,0.00014133784216396666
5.824,0.0020424133924826183
5.85,0.00012873715608775695
5.876,-0.0004072957997459534
5.902,0.0005934035524664604
5.928,0.0012962340872602115
5.954,-0.002584053318682612
5.98,0.0011143897549234219
6.006,-0.0009617603818815124
6.032,0.006879767152183529
6.058,0.0033616611492383684
6.084,0.002994871839665239
6.11,-0.0027606351668447455
6.136,0.002105589065959296
6.162,-0.0004545978991509974
6.188,-0.007858538020239066
6.214,0.0016415772471797285
6.24,0.0032244747425285
6.266,-0.00021916405606203651
6.292,0.0046842937789193535
6.318,0.0005535257765109348
6.344,0.0012631260571551361
6.37,-0.003016576353962695
6.396,-0.0050758021261415615
6.422,-0.006481747423754701
6.448,-0.003555055377096871
6.474,0.0019069064905443535
6.5,0.0
6.526,0.0002573087021940832
6.552,-0.0016043130467942562
6.578,-0.000219841660504729
6.604,0.006465340726666197
6.63,0.004654492071556104
6.656,0.0026236266763071166
6.682,0.0020550263847496394
6.708,0.00834417863967079
6.734,0.011221378985978648
6.76,0.011871332947497298
6.786,0.01737519468376944
6.812,0.023068609303853394
6.838,0.03506465731068128
6.864,0.04655635925165304
6.89,0.06191020120029091
6.916,0.08543851126331484
6.942,0.12424952258366921
6.968,0.18072280082777778
6.994,0.2759088707175316
7.02,0.39619715822065404
7.046,0.5060329581307261
7.072,0.5222160939460398
7.098,0.40885337316765463
7.124,0.2457668691179121
7.15,0.137007575517816
7.176,0.09190420214924921
7.202,0.06762456701658429
7.228,0.05639023213768492
7.254,0.05272447311955873
7.28,0.04630681241323549
7.306,0.03951004593928855
7.332,0.034185699187808664
7.358,0.022325162817745253
7.384,0.013030360124992278
7.41,0.014523147444888588
7.436,0.011436201696973614
7.462,0.00631494732100646
7.488,0.0058648175818313344
7.514,0.005022042583331696
7.54,0.004920554755453334
7.566,0.005668670031803087
7.592,0.005035757154666602
7.618,0.001410616611642951
7.644,0.00010749889531446918
7.67,0.0039053846772799817
7.696,-0.002519045774893658
7.722,-0.0024039017355584873
7.748,0.002294360244513322
7.774,-0.000657190586393241
7.8,0.00010446418165742057
7.826,0.001959432904551411
7.852,-0.0002542156286589851
7.878,-0.0015336392345109639
7.904,-0.002318871393281971
7.93,0.00028753911900896134
7.956,0.0015095366048884155
7.982,0.0003113499492415051
8.008,0.0
8.034,0.0055432410818716275
8.06,0.0021605722599601176
8.086,0.00563565598452742
8.112,0.006683785821717855
8.138,0.0074814350624427635
8.164,0.019290075928881024
8.19,0.015599383670775263
8.216,0.023681279446555535
8.242,0.027660709236979362
8.268,0.033498434263344264
8.294,0.025965911235123387
8.32,0.025551775968622438
8.346,0.020645914330365774
8.372,0.007115396478669883
8.398,0.008586635431511835
8.424,0.0005903848125369137
8.45,-0.002623040363113945
8.476,0.00026646034539171734
8.502,0.004256044754591161
8.528,-0.004779361852423808
8.554,-0.002878244038079899
8.58,0.0009556362165597889
8.606,-0.006279017994242574
8.632,-0.007759388232185115
8.658,0.002363585917497794
8.684,-0.004843989309902835
