Column1,filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,Extension,from_CSD,public,DISORDER,CSD_overlap_inCCDC,date_CSD,DOI_public,Note,Matched_CSD_of_CoRE,Possible_List_CSD_of_CoRE,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,cluster_assignment
2172,ERIJUM_freeONLY,9.00258,2.71737,9.00139,1.21845,0.0,0.0,1335.11,1095.75,0.6326,0.519185,0.0,Ag,Yes,Ag,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2186,ERUVEU_freeONLY,3.34466,3.01377,3.34466,2.21788,0.0,0.0,0.325326,0.146684,0.3556,0.160334,0.0,Cd,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2188,ESARAT_freeONLY,4.65638,2.73042,4.28273,1.24022,0.0,0.0,877.4,707.453,0.5198,0.419118,0.0,Zn,Yes,Zn,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2197,ESEDIQ_freeONLY,5.39674,3.78301,5.31113,0.83454,2154.55,2581.72,0.0,0.0,0.6546,0.784384,0.0,Zn,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2230,ETECAJ_freeONLY,4.77948,3.31241,4.76834,2.24633,1025.01,456.301,0.0,0.0,0.5452,0.242706,0.0,Bi,Yes,Bi,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2243,ETIPII_freeONLY,4.4114,3.63269,4.34894,1.3361,794.526,594.661,72.734,54.4377,0.5232,0.391588,0.0,Zn,Yes,Zn,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2267,EVUNOY_freeONLY,4.88935,2.54565,4.88803,1.50967,0.0,0.0,737.972,488.831,0.5364,0.35531,0.0,Cd,Yes,Cd,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2293,EWUFAF_freeONLY,4.48474,2.62455,4.48474,2.94399,0.0,0.0,64.5481,21.9254,0.3712,0.126087,0.0,"Ca,Hg,Cu",Yes,"Cu,Hg",freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2310,EXENAX_freeONLY,4.98437,3.71955,4.67631,1.89432,1309.09,691.06,0.0,0.0,0.588,0.310402,0.0,Ag,Yes,Ag,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2314,EXEQIJ_freeONLY,5.98267,3.4226,5.98267,1.0146,1096.76,1080.98,0.0,0.0,0.5566,0.548591,0.0,Cu,Yes,Cu,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2316,EXEWIO_freeONLY,4.87793,3.82887,4.83998,1.1907,950.223,798.034,0.0,0.0,0.4942,0.415048,0.0,Zn,Yes,Zn,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2319,EXIDEV_freeONLY,4.19798,2.85974,4.18974,1.32973,0.0,0.0,393.58,295.985,0.4316,0.324577,0.0,Co,Yes,Co,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2323,EXOGAB_freeONLY,6.08835,2.93521,6.01903,2.43945,0.0,0.0,590.322,241.99,0.4432,0.18168,0.0,Cu,Yes,Cu,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2366,EZOFEF_freeONLY,11.22482,4.58247,11.22482,1.02492,1340.94,1308.34,253.285,247.127,0.6156,0.600633,0.0,Ni,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2412,FALBAX_manual,16.15249,9.49143,16.1486,0.447193,2181.58,4878.38,0.0,0.0,0.8038,1.79743,0.0,Co,No,,manual,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
